Timestamp,Distance(m)
19:13:42.345,0.0100
19:13:42.346,0.0100
19:13:42.347,0.0100
19:13:42.348,0.0100
19:13:42.349,0.0100
19:13:42.350,0.0100
19:13:42.351,0.0100
19:13:42.352,0.0100
19:13:42.353,0.0100
19:13:42.354,0.0100
19:13:42.355,0.0100
19:13:42.356,0.0100
19:13:42.357,0.0100
19:13:42.358,0.0100
19:13:42.359,0.0100
19:13:42.360,0.0100
19:13:42.361,0.0100
19:13:42.362,0.0100
19:13:42.363,0.0100
19:13:42.364,0.0100
19:13:42.365,0.0100
19:13:42.366,0.0100
19:13:42.367,0.0100
19:13:42.368,0.0100
19:13:42.369,0.0100
19:13:42.370,0.0100
19:13:42.371,0.0100
19:13:42.372,0.0100
19:13:42.373,0.0100
19:13:42.374,0.0100
19:13:42.375,0.0100
19:13:42.376,0.0100
19:13:42.377,0.0100
19:13:42.378,0.0100
19:13:42.379,0.0100
19:13:42.380,0.0100
19:13:42.381,0.0100
19:13:42.382,0.0100
19:13:42.383,0.0100
19:13:42.384,0.0100
19:13:42.385,0.0100
19:13:42.386,0.0100
19:13:42.387,0.0100
19:13:42.388,0.0100
19:13:42.389,0.0100
19:13:42.390,0.0100
19:13:42.391,0.0100
19:13:42.392,0.0100
19:13:42.393,0.0100
19:13:42.394,0.0100
19:13:42.395,0.0100
19:13:42.396,0.0100
19:13:42.397,0.0100
19:13:42.398,0.0100
19:13:42.399,0.0100
19:13:42.400,0.0100
19:13:42.401,0.0100
19:13:42.402,0.0100
19:13:42.403,0.0100
19:13:42.404,0.0100
19:13:42.405,0.0100
19:13:42.406,0.0100
19:13:42.407,0.0100
19:13:42.408,0.0100
19:13:42.409,0.0100
19:13:42.410,0.0100
19:13:42.411,0.0100
19:13:42.412,0.0100
19:13:42.413,0.0100
19:13:42.414,0.0100
19:13:42.415,0.0100
19:13:42.416,0.0100
19:13:42.417,0.0100
19:13:42.418,0.0100
19:13:42.419,0.0100
19:13:42.420,0.0100
19:13:42.421,0.0100
19:13:42.422,0.0100
19:13:42.423,0.0100
19:13:42.424,0.0100
19:13:42.425,0.0100
19:13:42.426,0.0100
19:13:42.427,0.0100
19:13:42.428,0.0100
19:13:42.429,0.0100
19:13:42.430,0.0100
19:13:42.431,0.0100
19:13:42.432,0.0100
19:13:42.433,0.0100
19:13:42.434,0.0100
19:13:42.435,0.0100
19:13:42.436,0.0100
19:13:42.437,0.0100
19:13:42.438,0.0100
19:13:42.439,0.0100
19:13:42.440,0.0100
19:13:42.441,0.0100
19:13:42.442,0.0100
19:13:42.443,0.0100
19:13:42.444,0.0100
19:13:42.445,0.0100
19:13:42.446,0.0100
19:13:42.447,0.0100
19:13:42.448,0.0100
19:13:42.449,0.0100
19:13:42.450,0.0100
19:13:42.451,0.0100
19:13:42.452,0.0100
19:13:42.453,0.0100
19:13:42.454,0.0100
19:13:42.455,0.0100
19:13:42.456,0.0100
19:13:42.457,0.0100
19:13:42.458,0.0100
19:13:42.459,0.0100
19:13:42.460,0.0100
19:13:42.461,0.0100
19:13:42.462,0.0100
19:13:42.463,0.0100
19:13:42.464,0.0100
19:13:42.465,0.0100
19:13:42.466,0.0100
19:13:42.467,0.0100
19:13:42.468,0.0100
19:13:42.469,0.0100
19:13:42.470,0.0100
19:13:42.471,0.0100
19:13:42.472,0.0100
19:13:42.473,0.0100
19:13:42.474,0.0100
19:13:42.475,0.0100
19:13:42.476,0.0100
19:13:42.477,0.0100
19:13:42.478,0.0100
19:13:42.479,0.0100
19:13:42.480,0.0100
19:13:42.481,0.0100
19:13:42.482,0.0100
19:13:42.483,0.0100
19:13:42.484,0.0100
19:13:42.485,0.0100
19:13:42.486,0.0100
19:13:42.487,0.0100
19:13:42.488,0.0100
19:13:42.489,0.0100
19:13:42.490,0.0100
19:13:42.491,0.0100
19:13:42.492,0.0100
19:13:42.493,0.0100
19:13:42.494,0.0100
19:13:42.495,0.0100
19:13:42.496,0.0100
19:13:42.497,0.0100
19:13:42.498,0.0100
19:13:42.499,0.0100
19:13:42.500,0.0100
19:13:42.501,0.0100
19:13:42.502,0.0100
19:13:42.503,0.0100
19:13:42.504,0.0100
19:13:42.505,0.0100
19:13:42.506,0.0100
19:13:42.507,0.0100
19:13:42.508,0.0100
19:13:42.509,0.0100
19:13:42.510,0.0100
19:13:42.511,0.0100
19:13:42.512,0.0100
19:13:42.513,0.0100
19:13:42.514,0.0100
19:13:42.515,0.0100
19:13:42.516,0.0100
19:13:42.517,0.0100
19:13:42.518,0.0100
19:13:42.519,0.0100
19:13:42.520,0.0100
19:13:42.521,0.0100
19:13:42.522,0.0100
19:13:42.523,0.0100
19:13:42.524,0.0100
19:13:42.525,0.0100
19:13:42.526,0.0100
19:13:42.527,0.0100
19:13:42.528,0.0100
19:13:42.529,0.0100
19:13:42.530,0.0100
19:13:42.531,0.0100
19:13:42.532,0.0100
19:13:42.533,0.0100
19:13:42.534,0.0100
19:13:42.535,0.0100
19:13:42.536,0.0100
19:13:42.537,0.0100
19:13:42.538,0.0100
19:13:42.539,0.0100
19:13:42.540,0.0100
19:13:42.541,0.0100
19:13:42.542,0.0100
19:13:42.543,0.0100
19:13:42.544,0.0100
19:13:42.545,0.0100
19:13:42.546,0.0100
