Time(s),Distance(m)
3.24,0.0100
3.24,0.0100
3.44,0.0100
3.44,0.0100
3.54,0.0100
3.54,0.0100
3.54,0.0100
3.64,0.0100
3.64,0.0100
3.64,0.0100
3.64,0.0100
3.64,0.0100
3.64,0.0100
3.64,0.0100
3.64,0.0100
3.64,0.0100
3.64,0.0100
3.75,0.0100
3.75,0.0100
3.75,0.0100
3.75,0.0100
3.75,0.0100
3.75,0.0100
3.75,0.0100
3.75,0.0100
3.75,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
3.94,0.0100
4.05,0.0100
4.05,0.0100
4.05,0.0100
4.05,0.0100
4.05,0.0100
4.05,0.0100
4.05,0.0100
4.05,0.0200
4.05,0.0200
4.05,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0200
4.24,0.0300
4.34,0.0300
4.34,0.0200
4.34,0.0200
4.34,0.0200
4.34,0.0200
4.34,0.0200
4.34,0.0200
4.34,0.0200
4.34,0.0200
4.34,0.0200
4.45,0.0200
4.45,0.0200
4.45,0.0200
4.45,0.0200
4.45,0.0200
4.45,0.0200
4.45,0.0200
4.45,0.0200
4.45,0.0300
4.45,0.0200
4.64,0.0200
4.64,0.0200
4.64,0.0200
4.64,0.0200
4.64,0.0200
4.64,0.0300
4.64,0.0200
4.64,0.0300
4.64,0.0300
4.64,0.0300
4.64,0.0300
4.64,0.0300
4.64,0.0300
4.64,0.0300
4.64,0.0200
4.64,0.0300
4.64,0.0200
4.64,0.0200
4.64,0.0200
4.64,0.0200
4.75,0.0200
4.75,0.0300
4.75,0.0300
4.75,0.0300
4.75,0.0300
4.75,0.0300
4.75,0.0300
4.75,0.0300
4.75,0.0300
4.75,0.0300
4.85,0.0300
4.85,0.0300
4.85,0.0300
4.85,0.0300
4.85,0.0300
4.85,0.0300
4.85,0.0300
4.85,0.0300
4.85,0.0200
4.85,0.0200
5.04,0.0200
5.04,0.0200
5.04,0.0300
5.04,0.0300
5.04,0.0300
5.04,0.0300
5.04,0.0200
5.04,0.0200
5.04,0.0200
5.04,0.0200
5.04,0.0200
5.04,0.0200
5.04,0.0200
5.04,0.0200
5.04,0.0300
5.04,0.0300
5.04,0.0200
5.04,0.0300
5.04,0.0300
5.15,0.0300
5.15,0.0300
5.15,0.0300
5.15,0.0300
5.15,0.0300
5.15,0.0300
5.15,0.0300
5.15,0.0300
5.15,0.0300
5.15,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.34,0.0300
5.45,0.0300
5.45,0.0400
5.45,0.0400
5.45,0.0400
5.45,0.0400
5.45,0.0400
5.45,0.0400
5.45,0.0300
5.45,0.0300
5.45,0.0300
5.55,0.0300
5.55,0.0400
5.55,0.0300
5.55,0.0300
5.55,0.0300
5.55,0.0300
5.55,0.0300
5.55,0.0300
5.55,0.0300
5.55,0.0300
5.74,0.0300
5.74,0.0300
5.74,0.0300
5.74,0.0300
5.74,0.0300
5.74,0.0300
5.74,0.0300
5.74,0.0300
5.74,0.0300
5.74,0.0300
5.74,0.0400
5.74,0.0300
5.74,0.0300
5.74,0.0400
5.74,0.0300
5.74,0.0400
5.74,0.0300
5.74,0.0300
5.74,0.0400
5.74,0.0400
5.85,0.0400
5.85,0.0400
5.85,0.0400
5.85,0.0400
5.85,0.0400
5.85,0.0400
5.85,0.0400
5.85,0.0400
5.85,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.04,0.0400
6.15,0.0400
6.15,0.0400
6.15,0.0400
6.15,0.0400
6.15,0.0400
6.15,0.0400
6.15,0.0400
6.15,0.0400
6.15,0.0400
6.15,0.0400
6.25,0.0400
6.25,0.0400
6.25,0.0400
6.25,0.0400
6.25,0.0400
6.25,0.0400
6.25,0.0500
6.25,0.0400
6.25,0.0400
6.25,0.0400
6.44,0.0400
6.44,0.0400
6.44,0.0500
6.44,0.0400
6.44,0.0400
6.44,0.0400
6.44,0.0400
6.44,0.0400
6.44,0.0400
6.44,0.0400
6.44,0.0400
6.44,0.0400
6.44,0.0400
6.44,0.0400
6.44,0.0400
6.44,0.0400
6.45,0.0400
6.45,0.0500
6.45,0.0500
6.45,0.0500
6.54,0.0500
6.54,0.0500
6.55,0.0500
6.55,0.0500
6.55,0.0500
6.55,0.0500
6.55,0.0500
6.55,0.0500
6.55,0.0600
6.55,0.0600
6.65,0.0600
6.65,0.0600
6.65,0.0500
6.65,0.0500
6.65,0.0500
6.65,0.0500
6.65,0.0600
6.65,0.0600
6.65,0.0600
6.65,0.0600
6.75,0.0600
6.75,0.0600
6.75,0.0600
6.75,0.0600
6.75,0.0600
6.75,0.0600
6.75,0.0600
6.75,0.0600
6.75,0.0600
6.75,0.0600
6.94,0.0600
6.94,0.0600
6.94,0.0600
6.94,0.0600
6.94,0.0600
6.94,0.0600
6.94,0.0600
6.94,0.0600
6.94,0.0600
6.94,0.0600
6.94,0.0600
6.94,0.0600
6.94,0.0600
6.94,0.0600
6.94,0.0600
6.94,0.0700
6.94,0.0600
6.94,0.0600
6.94,0.0600
7.05,0.0600
7.05,0.0700
7.05,0.0600
7.05,0.0600
7.05,0.0700
7.05,0.0600
7.05,0.0700
7.05,0.0700
7.05,0.0700
7.05,0.0700
7.15,0.0700
7.15,0.0700
7.15,0.0700
7.15,0.0700
7.15,0.0700
7.15,0.0700
7.15,0.0700
7.15,0.0700
7.15,0.0700
7.15,0.0700
7.25,0.0700
7.25,0.0700
7.25,0.0700
7.25,0.0700
7.25,0.0700
7.25,0.0700
7.25,0.0600
7.25,0.0700
7.25,0.0600
7.25,0.0600
7.44,0.0600
7.44,0.0600
7.44,0.0600
7.44,0.0600
7.44,0.0600
7.44,0.0500
7.44,0.0500
7.44,0.0500
7.44,0.0500
7.44,0.0500
7.44,0.0600
7.44,0.0700
7.44,0.0600
7.44,0.0700
7.44,0.0700
7.44,0.0700
7.44,0.0600
7.44,0.0600
7.44,0.0700
7.44,0.0600
7.55,0.0600
7.55,0.0700
7.55,0.0600
7.55,0.0600
7.55,0.0700
7.55,0.0700
7.55,0.0800
7.55,0.0700
7.55,0.0600
7.55,0.0600
7.74,0.0600
7.74,0.0600
7.74,0.0500
7.74,0.0600
7.74,0.0600
7.74,0.0600
7.74,0.0700
7.74,0.0500
7.74,0.0600
7.74,0.0600
7.74,0.0600
7.74,0.0700
7.74,0.0700
7.74,0.0700
7.74,0.0600
7.74,0.0700
7.74,0.0700
7.74,0.0700
7.74,0.0600
7.74,0.0600
7.85,0.0700
7.85,0.0600
7.85,0.0700
7.85,0.0600
7.85,0.0600
7.85,0.0700
7.85,0.0800
7.85,0.0700
7.85,0.0800
7.95,0.0600
7.95,0.0600
7.95,0.0700
7.95,0.0800
7.95,0.0700
7.95,0.0600
7.95,0.0600
7.95,0.0700
7.95,0.0600
7.95,0.0700
8.14,0.0600
8.14,0.0700
8.14,0.0800
8.14,0.0800
8.14,0.0800
8.14,0.0600
8.14,0.0700
8.14,0.0700
8.14,0.0800
8.14,0.0900
8.14,0.0800
8.14,0.0800
8.14,0.0800
8.14,0.0800
8.14,0.0900
8.14,0.0800
8.14,0.0800
8.14,0.0800
8.14,0.0900
8.14,0.0800
8.24,0.1000
8.24,0.0900
8.24,0.0800
8.24,0.0800
8.24,0.0900
8.24,0.0900
8.24,0.0900
8.24,0.0900
8.24,0.0900
8.24,0.0900
8.35,0.0900
8.35,0.0700
8.35,0.0900
8.35,0.0800
8.35,0.0800
8.35,0.0800
8.35,0.0900
8.35,0.0800
8.35,0.0800
8.35,0.0800
8.45,0.0900
8.45,0.1000
8.45,0.0800
8.45,0.0900
8.45,0.1000
8.45,0.0900
8.45,0.1000
8.45,0.1000
8.45,0.0800
8.45,0.0800
8.64,0.0800
8.64,0.1000
8.64,0.1100
8.64,0.1100
8.64,0.1000
8.64,0.1000
8.64,0.1000
8.64,0.1000
8.64,0.0900
8.64,0.1000
8.64,0.1000
8.64,0.1100
8.64,0.0900
8.64,0.1000
8.64,0.1000
8.64,0.0900
8.64,0.1000
8.64,0.0900
8.64,0.1000
8.64,0.1000
8.74,0.1000
8.74,0.0900
8.74,0.0900
8.74,0.0800
8.74,0.1000
8.74,0.0900
8.74,0.1000
8.75,0.1100
8.75,0.1200
8.85,0.1200
8.85,0.1200
8.85,0.1200
8.85,0.1100
8.85,0.1100
8.85,0.1100
8.85,0.0900
8.85,0.1000
8.85,0.1100
8.85,0.1200
8.95,0.1000
8.95,0.1000
8.95,0.1100
8.95,0.1100
8.95,0.1100
8.95,0.1100
8.95,0.1100
8.95,0.1100
8.95,0.1100
8.95,0.1100
9.14,0.1100
9.14,0.1200
9.14,0.1100
9.14,0.1000
9.14,0.1200
9.14,0.1100
9.14,0.1200
9.14,0.1100
9.14,0.1000
9.14,0.1100
9.14,0.1100
9.14,0.1100
9.14,0.1100
9.14,0.1100
9.14,0.1200
9.14,0.1200
9.14,0.1200
9.14,0.1100
9.14,0.1000
9.14,0.1000
9.25,0.1000
9.25,0.1200
9.25,0.1300
9.25,0.1300
9.25,0.1400
9.25,0.1200
9.25,0.1200
9.25,0.1100
9.25,0.1100
9.25,0.1200
9.44,0.1100
9.44,0.1100
9.44,0.1200
9.44,0.1300
9.44,0.1400
9.44,0.1300
9.44,0.1300
9.44,0.1200
9.44,0.1300
9.44,0.1300
9.44,0.1400
9.44,0.1300
9.44,0.1300
9.44,0.1300
9.44,0.1300
9.44,0.1400
9.44,0.1300
9.44,0.1400
9.44,0.1300
9.44,0.1200
9.55,0.1300
9.55,0.1300
9.55,0.1300
9.55,0.1400
9.55,0.1400
9.55,0.1300
9.55,0.1200
9.55,0.1200
9.55,0.1200
9.55,0.1300
9.65,0.1400
9.65,0.1300
9.65,0.1300
9.65,0.1300
9.65,0.1200
9.65,0.1300
9.65,0.1300
9.65,0.1300
9.65,0.1300
9.65,0.1300
9.84,0.1400
9.84,0.1400
9.84,0.1400
9.84,0.1400
9.84,0.1500
9.84,0.1400
9.84,0.1400
9.84,0.1400
9.84,0.1400
9.84,0.1500
9.84,0.1400
9.84,0.1500
9.84,0.1400
9.84,0.1400
9.84,0.1400
9.84,0.1400
9.84,0.1300
9.84,0.1400
9.84,0.1300
9.84,0.1300
9.94,0.1200
9.94,0.1400
9.94,0.1400
9.94,0.1400
9.94,0.1500
9.94,0.1500
9.94,0.1600
9.94,0.1500
9.94,0.1500
10.05,0.1500
10.05,0.1400
10.05,0.1500
10.05,0.1400
10.05,0.1400
10.05,0.1500
10.05,0.1400
10.05,0.1400
10.05,0.1500
10.05,0.1500
10.15,0.1500
10.15,0.1500
10.15,0.1500
10.15,0.1400
10.15,0.1400
10.15,0.1400
10.15,0.1400
10.15,0.1400
10.15,0.1500
10.15,0.1500
10.34,0.1500
10.34,0.1300
10.34,0.1100
10.34,0.1200
10.34,0.1600
10.34,0.1500
10.34,0.1400
10.34,0.1400
10.34,0.1600
10.34,0.1600
10.34,0.1500
10.34,0.1600
10.34,0.1800
10.34,0.1800
10.34,0.1800
10.34,0.1800
10.34,0.1900
10.34,0.1900
10.34,0.2300
10.34,0.2600
10.45,0.2200
10.45,0.2100
10.45,0.2100
10.45,0.2100
10.45,0.2100
10.45,0.2300
10.45,0.2400
10.45,0.2700
10.45,0.3200
10.45,0.5600
10.55,0.6600
10.55,0.7700
10.55,0.8800
10.55,0.9100
10.55,0.9300
10.55,0.9300
10.55,0.9300
10.55,0.9300
10.55,0.9300
10.55,0.9300
10.65,0.9300
10.65,0.9300
10.65,0.9300
10.65,0.9300
10.65,0.9300
10.65,0.9300
10.65,0.9300
10.65,0.9300
10.65,0.9300
10.65,0.9400
10.84,0.9500
10.84,0.9200
10.84,0.9100
10.84,0.8700
10.84,0.8200
10.84,0.8000
10.84,0.8500
10.84,0.8800
10.84,0.8800
10.84,0.9000
10.84,0.9200
10.84,0.9200
10.84,0.9200
10.84,0.9000
10.84,0.8600
10.84,0.8500
10.84,0.8600
10.84,0.8600
10.84,0.8100
10.95,0.8400
10.95,0.8700
10.95,0.7700
10.95,0.7700
10.95,0.8100
10.95,0.8600
10.95,0.8400
10.95,0.8000
10.95,0.7200
10.95,0.7100
11.14,0.7700
11.14,0.8100
11.14,0.8200
11.14,0.8300
11.14,0.8400
11.14,0.8400
11.14,0.8500
11.14,0.8400
11.14,0.8500
11.14,0.8500
11.14,0.8600
11.14,0.8800
11.14,0.8800
11.14,0.8600
11.14,0.8300
11.14,0.8200
11.14,0.8000
11.14,0.7600
11.14,0.7400
11.14,0.8000
11.25,0.8500
11.25,0.8500
11.25,0.8100
11.25,0.7600
11.25,0.7500
11.25,0.8100
11.25,0.8700
11.25,0.9100
11.25,0.9100
11.25,0.9000
11.35,0.8900
11.35,0.8900
11.35,0.8900
11.35,0.9000
11.35,0.9000
11.35,0.9000
11.35,0.9100
11.35,0.9100
11.35,0.9000
11.35,0.8800
11.54,0.8800
11.54,0.8900
11.54,0.9000
11.54,0.8900
11.54,0.8600
11.54,0.8200
11.54,0.7800
11.54,0.7800
11.54,0.8200
11.54,0.8500
11.54,0.8500
11.55,0.8300
11.55,0.8200
11.55,0.8200
11.55,0.8500
11.55,0.8800
11.55,0.8700
11.55,0.8400
11.55,0.8200
11.55,0.8100
11.65,0.8100
11.65,0.8300
11.65,0.8500
11.65,0.8500
11.65,0.8500
11.65,0.8500
11.65,0.8500
11.65,0.8400
11.65,0.8300
11.65,0.8200
11.84,0.8100
11.84,0.8100
11.84,0.8300
11.84,0.8500
11.84,0.8600
11.84,0.8600
11.84,0.8700
11.84,0.8800
11.84,0.8700
11.84,0.8400
11.84,0.8500
11.84,0.8400
11.84,0.8300
11.84,0.8400
11.84,0.8600
11.84,0.8700
11.84,0.8700
11.84,0.8800
11.84,0.8800
11.95,0.8900
11.95,0.8900
11.95,0.8900
11.95,0.8900
11.95,0.8900
11.95,0.8900
11.95,0.8900
11.95,0.8900
11.95,0.8900
11.95,0.8900
12.05,0.8900
12.05,0.8900
12.05,0.9000
12.05,0.9000
12.05,0.9000
12.05,0.9000
12.05,0.8900
12.05,0.8900
12.05,0.8900
12.05,0.8900
12.15,0.8900
12.15,0.9000
12.15,0.9100
12.15,0.9100
12.15,0.9100
12.15,0.9100
12.15,0.9100
12.15,0.9200
12.15,0.9200
12.15,0.9200
12.34,0.9100
12.34,0.9200
12.34,0.9200
12.34,0.9200
12.34,0.9200
12.34,0.9200
12.34,0.9300
12.34,0.9200
12.34,0.9300
12.34,0.9300
12.34,0.9200
