Timestamp,Distance(m)
19:53:08.584,0.0400
19:53:08.585,0.0403
19:53:08.586,0.0405
19:53:08.587,0.0408
19:53:08.588,0.0410
19:53:08.589,0.0413
19:53:08.590,0.0415
19:53:08.591,0.0418
19:53:08.592,0.0420
19:53:08.593,0.0423
19:53:08.594,0.0425
19:53:08.595,0.0428
19:53:08.596,0.0430
19:53:08.597,0.0433
19:53:08.598,0.0435
19:53:08.599,0.0437
19:53:08.600,0.0440
19:53:08.601,0.0442
19:53:08.602,0.0445
19:53:08.603,0.0447
19:53:08.604,0.0450
19:53:08.605,0.0452
19:53:08.606,0.0455
19:53:08.607,0.0457
19:53:08.608,0.0460
19:53:08.609,0.0462
19:53:08.610,0.0465
19:53:08.611,0.0467
19:53:08.612,0.0470
19:53:08.613,0.0473
19:53:08.614,0.0475
19:53:08.615,0.0478
19:53:08.616,0.0480
19:53:08.617,0.0483
19:53:08.618,0.0485
19:53:08.619,0.0488
19:53:08.620,0.0490
19:53:08.621,0.0493
19:53:08.622,0.0495
19:53:08.623,0.0498
19:53:08.624,0.0500
19:53:08.625,0.0503
19:53:08.626,0.0505
19:53:08.627,0.0508
19:53:08.628,0.0510
19:53:08.629,0.0513
19:53:08.630,0.0515
19:53:08.631,0.0517
19:53:08.632,0.0520
19:53:08.633,0.0522
19:53:08.634,0.0525
19:53:08.635,0.0527
19:53:08.636,0.0530
19:53:08.637,0.0532
19:53:08.638,0.0535
19:53:08.639,0.0537
19:53:08.640,0.0540
19:53:08.641,0.0542
19:53:08.642,0.0545
19:53:08.643,0.0548
19:53:08.644,0.0550
19:53:08.645,0.0553
19:53:08.646,0.0555
19:53:08.647,0.0558
19:53:08.648,0.0560
19:53:08.649,0.0563
19:53:08.650,0.0565
19:53:08.651,0.0568
19:53:08.652,0.0570
19:53:08.653,0.0572
19:53:08.654,0.0575
19:53:08.655,0.0577
19:53:08.656,0.0580
19:53:08.657,0.0582
19:53:08.658,0.0585
19:53:08.659,0.0587
19:53:08.660,0.0590
19:53:08.661,0.0592
19:53:08.662,0.0595
19:53:08.663,0.0597
19:53:08.664,0.0600
19:53:08.665,0.0602
19:53:08.666,0.0605
19:53:08.667,0.0607
19:53:08.668,0.0610
19:53:08.669,0.0612
19:53:08.670,0.0615
19:53:08.671,0.0617
19:53:08.672,0.0620
19:53:08.673,0.0622
19:53:08.674,0.0625
19:53:08.675,0.0628
19:53:08.676,0.0630
19:53:08.677,0.0633
19:53:08.678,0.0635
19:53:08.679,0.0638
19:53:08.680,0.0640
19:53:08.681,0.0643
19:53:08.682,0.0645
19:53:08.683,0.0648
19:53:08.684,0.0650
19:53:08.685,0.0653
19:53:08.686,0.0655
19:53:08.687,0.0658
19:53:08.688,0.0660
19:53:08.689,0.0663
19:53:08.690,0.0665
19:53:08.691,0.0668
19:53:08.692,0.0670
19:53:08.693,0.0673
19:53:08.694,0.0675
19:53:08.695,0.0678
19:53:08.696,0.0680
19:53:08.697,0.0682
19:53:08.698,0.0685
19:53:08.699,0.0687
19:53:08.700,0.0690
19:53:08.701,0.0692
19:53:08.702,0.0695
19:53:08.703,0.0697
19:53:08.704,0.0700
19:53:08.705,0.0702
19:53:08.706,0.0705
19:53:08.707,0.0707
19:53:08.708,0.0710
19:53:08.709,0.0712
19:53:08.710,0.0715
19:53:08.711,0.0718
19:53:08.712,0.0720
19:53:08.713,0.0723
19:53:08.714,0.0725
19:53:08.715,0.0728
19:53:08.716,0.0730
19:53:08.717,0.0733
19:53:08.718,0.0735
19:53:08.719,0.0738
19:53:08.720,0.0740
19:53:08.721,0.0743
19:53:08.722,0.0745
19:53:08.723,0.0747
19:53:08.724,0.0750
19:53:08.725,0.0752
19:53:08.726,0.0755
19:53:08.727,0.0757
19:53:08.728,0.0760
19:53:08.729,0.0762
19:53:08.730,0.0765
19:53:08.731,0.0767
19:53:08.732,0.0770
19:53:08.733,0.0772
19:53:08.734,0.0775
19:53:08.735,0.0777
19:53:08.736,0.0780
19:53:08.737,0.0783
19:53:08.738,0.0785
19:53:08.739,0.0788
19:53:08.740,0.0790
19:53:08.741,0.0793
19:53:08.742,0.0795
19:53:08.743,0.0798
19:53:08.744,0.0800
19:53:08.745,0.0803
19:53:08.746,0.0805
19:53:08.747,0.0807
19:53:08.748,0.0810
19:53:08.749,0.0812
19:53:08.750,0.0815
19:53:08.751,0.0817
19:53:08.752,0.0820
19:53:08.753,0.0822
19:53:08.754,0.0825
19:53:08.755,0.0827
19:53:08.756,0.0830
19:53:08.757,0.0832
19:53:08.758,0.0835
19:53:08.759,0.0837
19:53:08.760,0.0840
19:53:08.761,0.0842
19:53:08.762,0.0845
19:53:08.763,0.0847
19:53:08.764,0.0850
19:53:08.765,0.0852
19:53:08.766,0.0855
19:53:08.767,0.0857
19:53:08.768,0.0860
19:53:08.769,0.0862
19:53:08.770,0.0865
19:53:08.771,0.0867
19:53:08.772,0.0870
19:53:08.773,0.0872
19:53:08.774,0.0875
19:53:08.775,0.0877
19:53:08.776,0.0880
19:53:08.777,0.0882
19:53:08.778,0.0885
19:53:08.779,0.0887
19:53:08.780,0.0890
19:53:08.781,0.0892
19:53:08.782,0.0895
19:53:08.783,0.0897
19:53:08.784,0.0900
19:53:08.785,0.0400
19:53:08.786,0.0400
19:53:08.787,0.0400
19:53:08.788,0.0400
19:53:08.789,0.0400
19:53:08.790,0.0400
19:53:08.791,0.0400
19:53:08.792,0.0400
19:53:08.793,0.0400
19:53:08.794,0.0400
19:53:08.795,0.0400
19:53:08.796,0.0400
19:53:08.797,0.0400
19:53:08.798,0.0400
19:53:08.799,0.0400
19:53:08.800,0.0400
19:53:08.801,0.0400
19:53:08.802,0.0400
19:53:08.803,0.0400
19:53:08.804,0.0400
19:53:08.805,0.0400
19:53:08.806,0.0400
19:53:08.807,0.0400
19:53:08.808,0.0400
19:53:08.809,0.0400
19:53:08.810,0.0400
19:53:08.811,0.0400
19:53:08.812,0.0400
19:53:08.813,0.0400
19:53:08.814,0.0400
19:53:08.815,0.0400
19:53:08.816,0.0400
19:53:08.817,0.0400
19:53:08.818,0.0400
19:53:08.819,0.0400
19:53:08.820,0.0400
19:53:08.821,0.0400
19:53:08.822,0.0400
19:53:08.823,0.0400
19:53:08.824,0.0400
19:53:08.825,0.0400
19:53:08.826,0.0400
19:53:08.827,0.0400
19:53:08.828,0.0400
19:53:08.829,0.0400
19:53:08.830,0.0400
19:53:08.831,0.0400
19:53:08.832,0.0400
19:53:08.833,0.0400
19:53:08.834,0.0400
19:53:08.835,0.0400
19:53:08.836,0.0400
19:53:08.837,0.0400
19:53:08.838,0.0400
19:53:08.839,0.0400
19:53:08.840,0.0400
19:53:08.841,0.0400
19:53:08.842,0.0400
19:53:08.843,0.0400
19:53:08.844,0.0400
19:53:08.845,0.0400
19:53:08.846,0.0400
19:53:08.847,0.0400
19:53:08.848,0.0400
19:53:08.849,0.0400
19:53:08.850,0.0400
19:53:08.851,0.0400
19:53:08.852,0.0400
19:53:08.853,0.0400
19:53:08.854,0.0400
19:53:08.855,0.0400
19:53:08.856,0.0400
19:53:08.857,0.0400
19:53:08.858,0.0400
19:53:08.859,0.0400
19:53:08.860,0.0400
19:53:08.861,0.0400
19:53:08.862,0.0400
19:53:08.863,0.0400
19:53:08.864,0.0400
19:53:08.865,0.0400
19:53:08.866,0.0400
19:53:08.867,0.0400
19:53:08.868,0.0400
19:53:08.869,0.0400
19:53:08.870,0.0400
19:53:08.871,0.0400
19:53:08.872,0.0400
19:53:08.873,0.0400
19:53:08.874,0.0400
19:53:08.875,0.0400
19:53:08.876,0.0400
19:53:08.877,0.0400
19:53:08.878,0.0400
19:53:08.879,0.0400
19:53:08.880,0.0400
19:53:08.881,0.0400
19:53:08.882,0.0400
19:53:08.883,0.0400
19:53:08.884,0.0400
19:53:08.885,0.0400
19:53:08.886,0.0400
19:53:08.887,0.0400
19:53:08.888,0.0400
19:53:08.889,0.0400
19:53:08.890,0.0400
19:53:08.891,0.0400
19:53:08.892,0.0400
19:53:08.893,0.0400
19:53:08.894,0.0400
19:53:08.895,0.0400
19:53:08.896,0.0400
19:53:08.897,0.0400
19:53:08.898,0.0400
19:53:08.899,0.0400
19:53:08.900,0.0400
19:53:08.901,0.0400
19:53:08.902,0.0400
19:53:08.903,0.0400
19:53:08.904,0.0400
19:53:08.905,0.0400
19:53:08.906,0.0400
19:53:08.907,0.0400
19:53:08.908,0.0400
19:53:08.909,0.0400
19:53:08.910,0.0400
19:53:08.911,0.0400
19:53:08.912,0.0400
19:53:08.913,0.0400
19:53:08.914,0.0400
19:53:08.915,0.0400
19:53:08.916,0.0400
19:53:08.917,0.0400
19:53:08.918,0.0400
19:53:08.919,0.0400
19:53:08.920,0.0400
19:53:08.921,0.0400
19:53:08.922,0.0400
19:53:08.923,0.0400
19:53:08.924,0.0400
19:53:08.925,0.0400
19:53:08.926,0.0400
19:53:08.927,0.0400
19:53:08.928,0.0400
19:53:08.929,0.0400
19:53:08.930,0.0400
19:53:08.931,0.0400
19:53:08.932,0.0400
19:53:08.933,0.0400
19:53:08.934,0.0400
19:53:08.935,0.0400
19:53:08.936,0.0400
19:53:08.937,0.0400
19:53:08.938,0.0400
19:53:08.939,0.0400
19:53:08.940,0.0400
19:53:08.941,0.0400
19:53:08.942,0.0400
19:53:08.943,0.0400
19:53:08.944,0.0400
19:53:08.945,0.0400
19:53:08.946,0.0400
19:53:08.947,0.0400
19:53:08.948,0.0400
19:53:08.949,0.0400
19:53:08.950,0.0400
19:53:08.951,0.0400
19:53:08.952,0.0400
19:53:08.953,0.0400
19:53:08.954,0.0400
19:53:08.955,0.0400
19:53:08.956,0.0400
19:53:08.957,0.0400
19:53:08.958,0.0400
19:53:08.959,0.0400
19:53:08.960,0.0400
19:53:08.961,0.0400
19:53:08.962,0.0400
19:53:08.963,0.0400
19:53:08.964,0.0400
19:53:08.965,0.0400
19:53:08.966,0.0400
19:53:08.967,0.0400
19:53:08.968,0.0400
19:53:08.969,0.0400
19:53:08.970,0.0400
19:53:08.971,0.0400
19:53:08.972,0.0400
19:53:08.973,0.0400
19:53:08.974,0.0400
19:53:08.975,0.0400
19:53:08.976,0.0400
19:53:08.977,0.0400
19:53:08.978,0.0400
19:53:08.979,0.0400
19:53:08.980,0.0400
19:53:08.981,0.0400
19:53:08.982,0.0400
19:53:08.983,0.0400
19:53:08.984,0.0400
19:53:08.985,0.0400
19:53:08.986,0.0400
19:53:08.987,0.0400
19:53:08.988,0.0400
19:53:08.989,0.0400
19:53:08.990,0.0400
19:53:08.991,0.0400
19:53:08.992,0.0400
19:53:08.993,0.0400
19:53:08.994,0.0400
19:53:08.995,0.0400
19:53:08.996,0.0400
19:53:08.997,0.0400
19:53:08.998,0.0400
19:53:08.999,0.0400
19:53:09.000,0.0400
19:53:09.001,0.0400
19:53:09.002,0.0400
19:53:09.003,0.0400
19:53:09.004,0.0400
19:53:09.005,0.0400
19:53:09.006,0.0400
19:53:09.007,0.0400
19:53:09.008,0.0400
19:53:09.009,0.0400
19:53:09.010,0.0400
19:53:09.011,0.0400
19:53:09.012,0.0400
19:53:09.013,0.0400
19:53:09.014,0.0400
19:53:09.015,0.0400
19:53:09.016,0.0400
19:53:09.017,0.0400
19:53:09.018,0.0400
19:53:09.019,0.0400
19:53:09.020,0.0400
19:53:09.021,0.0400
19:53:09.022,0.0400
19:53:09.023,0.0400
19:53:09.024,0.0400
19:53:09.025,0.0400
19:53:09.026,0.0400
19:53:09.027,0.0400
19:53:09.028,0.0400
19:53:09.029,0.0400
19:53:09.030,0.0400
19:53:09.031,0.0400
19:53:09.032,0.0400
19:53:09.033,0.0400
19:53:09.034,0.0400
19:53:09.035,0.0400
19:53:09.036,0.0400
19:53:09.037,0.0400
19:53:09.038,0.0400
19:53:09.039,0.0400
19:53:09.040,0.0400
19:53:09.041,0.0400
19:53:09.042,0.0400
19:53:09.043,0.0400
19:53:09.044,0.0400
19:53:09.045,0.0400
19:53:09.046,0.0400
19:53:09.047,0.0400
19:53:09.048,0.0400
19:53:09.049,0.0400
19:53:09.050,0.0400
19:53:09.051,0.0400
19:53:09.052,0.0400
19:53:09.053,0.0400
19:53:09.054,0.0400
19:53:09.055,0.0400
19:53:09.056,0.0400
19:53:09.057,0.0400
19:53:09.058,0.0400
19:53:09.059,0.0400
19:53:09.060,0.0400
19:53:09.061,0.0400
19:53:09.062,0.0400
19:53:09.063,0.0400
19:53:09.064,0.0400
19:53:09.065,0.0400
19:53:09.066,0.0400
19:53:09.067,0.0400
19:53:09.068,0.0400
19:53:09.069,0.0400
19:53:09.070,0.0400
19:53:09.071,0.0400
19:53:09.072,0.0400
19:53:09.073,0.0400
19:53:09.074,0.0400
19:53:09.075,0.0400
19:53:09.076,0.0400
19:53:09.077,0.0400
19:53:09.078,0.0400
19:53:09.079,0.0400
19:53:09.080,0.0400
19:53:09.081,0.0400
19:53:09.082,0.0400
19:53:09.083,0.0400
19:53:09.084,0.0400
19:53:09.085,0.0400
19:53:09.086,0.0400
19:53:09.087,0.0400
19:53:09.088,0.0401
19:53:09.089,0.0401
19:53:09.090,0.0401
19:53:09.091,0.0402
19:53:09.092,0.0402
19:53:09.093,0.0402
19:53:09.094,0.0403
19:53:09.095,0.0403
19:53:09.096,0.0403
19:53:09.097,0.0404
19:53:09.098,0.0404
19:53:09.099,0.0404
19:53:09.100,0.0405
19:53:09.101,0.0405
19:53:09.102,0.0405
19:53:09.103,0.0406
19:53:09.104,0.0406
19:53:09.105,0.0406
19:53:09.106,0.0407
19:53:09.107,0.0407
19:53:09.108,0.0407
19:53:09.109,0.0408
19:53:09.110,0.0408
19:53:09.111,0.0408
19:53:09.112,0.0409
19:53:09.113,0.0409
19:53:09.114,0.0409
19:53:09.115,0.0410
19:53:09.116,0.0410
19:53:09.117,0.0410
19:53:09.118,0.0411
19:53:09.119,0.0411
19:53:09.120,0.0411
19:53:09.121,0.0412
19:53:09.122,0.0412
19:53:09.123,0.0412
19:53:09.124,0.0413
19:53:09.125,0.0413
19:53:09.126,0.0413
