(51, 33), (53, 33), (53, 33),
(48, 30), (47, 32), (46, 31),
(51, 25), (50, 25), (48, 25),
(50, 32), (53, 33), (53, 32),
(48, 29), (48, 29), (46, 28),
(51, 23), (50, 23), (48, 22),
(51, 33), (54, 33), (53, 33),
(49, 29), (47, 30), (45, 31),
(51, 24), (50, 23), (47, 25),
(50, 34), (53, 35), (53, 34),
(49, 30), (47, 31), (45, 30),
(51, 25), (50, 25), (47, 26),
(51, 33), (53, 33), (53, 33),
(50, 29), (48, 29), (46, 30),
(51, 24), (51, 24), (48, 24),
(52, 33), (54, 33), (54, 32),
(49, 30), (47, 30), (46, 30),
(51, 24), (50, 24), (47, 24),
(52, 33), (54, 33), (54, 33),
(49, 29), (47, 30), (46, 29),
(51, 24), (50, 25), (47, 23),
(51, 33), (54, 33), (53, 33),
(49, 29), (47, 30), (47, 29),
(51, 25), (50, 24), (48, 23),
(52, 33), (53, 32), (54, 31),
(49, 28), (47, 30), (47, 28),
(51, 23), (51, 23), (48, 23),
(52, 32), (54, 32), (53, 32),
(49, 28), (48, 28), (46, 28),
(50, 23), (50, 22), (47, 23),
(52, 32), (54, 32), (54, 32),
(49, 28), (47, 31), (46, 29),
(50, 25), (50, 24), (47, 25),
(51, 32), (54, 32), (54, 32),
(49, 28), (47, 29), (46, 28),
(51, 23), (50, 23), (48, 22),
(52, 33), (54, 32), (54, 32),
(49, 30), (48, 31), (46, 29),
(51, 23), (50, 24), (48, 24),
(52, 33), (53, 33), (54, 32),
(48, 29), (48, 29), (46, 30),
(51, 23), (50, 23), (48, 24),
(51, 33), (53, 32), (53, 32),
(48, 28), (48, 28), (46, 28),
(51, 22), (50, 22), (47, 23),
(51, 34), (53, 34), (54, 32),
(49, 28), (47, 30), (45, 30),
(51, 25), (50, 24), (48, 24),
(51, 33), (54, 33), (54, 34),
(48, 29), (48, 29), (46, 29),
(51, 24), (50, 23), (47, 25),
(52, 32), (54, 33), (53, 33),
(49, 28), (47, 30), (45, 29),
(51, 23), (50, 23), (47, 23),
(54, 34), (55, 32), (54, 33),
(49, 27), (48, 30), (46, 29),
(51, 24), (50, 24), (47, 24),
(55, 33), (58, 32), (57, 31),
(49, 29), (49, 30), (48, 30),
(50, 25), (49, 24), (47, 24),
(56, 32), (57, 30), (57, 30),
(50, 27), (49, 30), (48, 29),
(50, 24), (49, 24), (47, 23),
(57, 31), (57, 30), (57, 30),
(49, 28), (50, 30), (49, 29),
(50, 24), (49, 24), (47, 23),
(54, 33), (56, 32), (56, 31),
(49, 28), (50, 29), (48, 29),
(50, 24), (49, 23), (46, 24),
(51, 33), (54, 32), (54, 32),
(49, 28), (47, 30), (45, 30),
(50, 24), (49, 24), (46, 24),
(54, 32), (55, 31), (54, 30),
(48, 31), (47, 31), (44, 31),
(50, 23), (49, 23), (46, 23),
(55, 32), (55, 32), (54, 30),
(48, 32), (47, 31), (43, 31),
(49, 25), (48, 25), (44, 24),
(55, 34), (55, 32), (52, 31),
(48, 33), (47, 32), (42, 30),
(50, 24), (49, 24), (45, 23),
(57, 33), (56, 31), (53, 31),
(50, 31), (47, 32), (43, 29),
(50, 25), (49, 25), (44, 24),
(58, 32), (55, 32), (53, 29),
(50, 31), (47, 31), (43, 27),
(50, 25), (48, 25), (42, 23),
(57, 33), (55, 32), (52, 29),
(49, 33), (46, 32), (42, 29),
(50, 26), (48, 26), (43, 23),
(57, 32), (55, 32), (52, 30),
(49, 32), (45, 32), (43, 28),
(50, 26), (48, 25), (44, 24),
(57, 34), (56, 33), (52, 32),
(48, 34), (47, 34), (43, 29),
(50, 28), (47, 28), (43, 27),
(58, 33), (56, 32), (53, 30),
(48, 34), (47, 33), (42, 30),
(50, 27), (48, 27), (44, 26),
(57, 31), (57, 31), (52, 30),
(49, 32), (48, 31), (42, 28),
(50, 26), (48, 25), (45, 24),
(56, 33), (55, 32), (52, 31),
(48, 32), (46, 33), (43, 29),
(50, 26), (49, 25), (45, 25),
(54, 34), (56, 33), (54, 30),
(47, 33), (46, 32), (43, 31),
(51, 25), (49, 26), (45, 28),
(55, 34), (56, 34), (55, 32),
(49, 33), (47, 35), (47, 34),
(50, 28), (49, 30), (46, 32),
(56, 33), (56, 31), (56, 30),
(50, 33), (51, 34), (49, 32),
(49, 31), (48, 31), (46, 31),
(56, 31), (56, 30), (55, 28),
(51, 32), (50, 34), (49, 31),
(49, 30), (49, 30), (47, 31),
(55, 31), (56, 30), (55, 30),
(50, 31), (49, 32), (49, 31),
(50, 28), (50, 25), (48, 29),
(54, 34), (56, 32), (56, 31),
(49, 30), (47, 32), (48, 32),
(50, 27), (50, 25), (49, 26),
(54, 35), (56, 34), (55, 32),
(46, 32), (47, 34), (47, 33),
(51, 30), (51, 26), (49, 26),
(55, 33), (55, 34), (55, 31),
(48, 31), (48, 34), (48, 32),
(50, 29), (50, 27), (49, 27),
(52, 30), (55, 31), (56, 31),
(47, 30), (48, 33), (47, 32),
(51, 29), (50, 25), (49, 25),
(51, 28), (55, 33), (55, 32),
(49, 30), (48, 32), (47, 31),
(51, 28), (51, 24), (49, 24),
(49, 24), (56, 30), (56, 31),
(50, 30), (48, 31), (48, 31),
(49, 27), (50, 24), (50, 24),
(46, 23), (56, 31), (56, 32),
(51, 31), (48, 32), (47, 31),
(50, 27), (51, 24), (49, 24),
(45, 21), (56, 30), (56, 30),
(51, 30), (48, 31), (48, 31),
(51, 26), (51, 24), (50, 24),
(44, 21), (55, 31), (56, 30),
(52, 30), (47, 30), (48, 30),
(50, 26), (50, 24), (50, 23),
(44, 22), (55, 32), (56, 33),
(52, 33), (47, 34), (48, 32),
(49, 27), (50, 26), (50, 25),
(43, 25), (56, 32), (56, 33),
(51, 33), (48, 32), (48, 31),
(48, 27), (50, 27), (50, 26),
(46, 21), (55, 31), (56, 32),
(50, 32), (47, 32), (48, 31),
(49, 27), (51, 25), (50, 25),
(44, 22), (55, 29), (56, 30),
(49, 30), (48, 30), (48, 29),
(47, 22), (51, 22), (49, 23),
(43, 22), (53, 30), (56, 29),
(48, 30), (49, 30), (46, 30),
(48, 21), (50, 23), (49, 23),
(45, 21), (53, 30), (55, 30),
(49, 31), (48, 29), (46, 28),
(48, 20), (50, 22), (49, 22),
(44, 23), (53, 31), (54, 31),
(48, 28), (48, 28), (47, 27),
(48, 20), (50, 21), (48, 23),
(45, 25), (52, 33), (53, 33),
(46, 30), (48, 30), (47, 29),
(48, 23), (50, 23), (49, 23),
(45, 25), (52, 32), (53, 33),
(48, 29), (48, 29), (47, 28),
(49, 23), (50, 22), (49, 24),
(46, 25), (50, 32), (53, 32),
(48, 28), (49, 27), (47, 27),
(46, 20), (50, 21), (50, 21),
(44, 24), (49, 31), (51, 31),
(49, 27), (49, 25), (49, 25),
(47, 20), (50, 19), (50, 21),
(42, 23), (49, 30), (50, 32),
(49, 28), (49, 26), (50, 25),
(46, 20), (49, 20), (49, 22),
(41, 24), (49, 30), (50, 31),
(49, 26), (49, 25), (50, 24),
(46, 19), (47, 19), (51, 20),
(44, 27), (49, 31), (49, 32),
(50, 27), (49, 25), (50, 24),
(46, 21), (46, 19), (49, 21),
(44, 29), (49, 32), (48, 33),
(50, 27), (49, 27), (50, 25),
(46, 22), (45, 20), (50, 21),
(44, 26), (48, 28), (49, 30),
(51, 26), (49, 24), (50, 23),
(46, 20), (44, 17), (49, 21),
(43, 27), (49, 31), (48, 31),
(48, 25), (49, 26), (49, 24),
(47, 20), (44, 20), (49, 21),
(42, 27), (48, 30), (47, 31),
(49, 27), (49, 26), (50, 24),
(44, 19), (45, 18), (49, 22),
(41, 27), (47, 31), (47, 33),
(47, 28), (49, 25), (49, 25),
(46, 21), (42, 20), (49, 23),
(43, 28), (47, 32), (47, 34),
(47, 30), (48, 26), (49, 24),
(45, 21), (43, 20), (49, 23),
(45, 29), (47, 31), (47, 33),
(49, 31), (48, 28), (49, 27),
