(-29, 24), (-24, 20), (-28, 19),
(-20, 12), (-15, 8), (-18, 11),
(-22, 13), (-19, 11), (-19, 8),
(-27, 23), (-23, 19), (-29, 19),
(-21, 13), (-15, 9), (-18, 12),
(-21, 11), (-18, 10), (-20, 8),
(-29, 25), (-25, 22), (-29, 20),
(-20, 12), (-14, 8), (-16, 9),
(-22, 14), (-19, 11), (-21, 10),
(-29, 25), (-25, 22), (-27, 20),
(-22, 13), (-16, 9), (-18, 11),
(-22, 13), (-19, 11), (-21, 10),
(-28, 24), (-26, 24), (-29, 22),
(-21, 14), (-16, 10), (-19, 13),
(-22, 13), (-20, 13), (-20, 10),
(-29, 24), (-26, 23), (-28, 21),
(-21, 13), (-15, 9), (-20, 12),
(-21, 13), (-19, 11), (-22, 10),
(-26, 24), (-26, 23), (-29, 21),
(-21, 14), (-17, 11), (-21, 14),
(-22, 14), (-19, 11), (-23, 12),
(-27, 25), (-27, 24), (-30, 21),
(-20, 14), (-17, 13), (-23, 16),
(-22, 13), (-19, 11), (-21, 10),
(-27, 26), (-28, 26), (-30, 23),
(-21, 15), (-17, 12), (-25, 17),
(-19, 11), (-21, 13), (-21, 12),
(-28, 24), (-32, 23), (-30, 22),
(-19, 13), (-17, 11), (-23, 14),
(-20, 11), (-20, 8), (-20, 8),
(-23, 19), (-30, 22), (-28, 19),
(-15, 10), (-18, 12), (-22, 12),
(-19, 12), (-23, 11), (-20, 9),
(-22, 20), (-30, 23), (-28, 21),
(-16, 10), (-20, 14), (-24, 15),
(-20, 11), (-24, 12), (-20, 8),
(-24, 20), (-31, 23), (-30, 22),
(-14, 7), (-20, 13), (-24, 15),
(-19, 10), (-25, 12), (-20, 8),
(-19, 16), (-32, 24), (-30, 21),
(-16, 8), (-21, 12), (-24, 14),
(-19, 9), (-25, 11), (-20, 9),
(-22, 19), (-32, 25), (-33, 23),
(-14, 7), (-22, 12), (-26, 14),
(-19, 10), (-24, 12), (-20, 9),
(-20, 18), (-31, 25), (-33, 23),
(-14, 6), (-20, 11), (-25, 14),
(-20, 10), (-24, 11), (-21, 7),
(-21, 16), (-32, 25), (-33, 23),
(-17, 8), (-20, 11), (-23, 12),
(-21, 11), (-23, 10), (-21, 9),
(-21, 16), (-29, 22), (-33, 23),
(-17, 9), (-18, 11), (-23, 13),
